Model,Cost,Degree,Accuracy,F1 score,Precision,Recall
Polynomial kernel SVM,1.0,2,0.9744058500914077,0.9789789789789789,0.9673590504451038,0.9908814589665653
Polynomial kernel SVM,1000.0,2,0.9744058500914077,0.9789789789789789,0.9673590504451038,0.9908814589665653
Polynomial kernel SVM,10.0,2,0.9744058500914077,0.9789789789789789,0.9673590504451038,0.9908814589665653
Polynomial kernel SVM,100.0,2,0.9744058500914077,0.9789789789789789,0.9673590504451038,0.9908814589665653
Polynomial kernel SVM,10.0,3,0.9122486288848263,0.9316239316239315,0.8766756032171582,0.993920972644377
Polynomial kernel SVM,100.0,3,0.9122486288848263,0.9316239316239315,0.8766756032171582,0.993920972644377
Polynomial kernel SVM,1000.0,3,0.9122486288848263,0.9316239316239315,0.8766756032171582,0.993920972644377
Polynomial kernel SVM,1.0,3,0.903107861060329,0.9250353606789251,0.8650793650793651,0.993920972644377
Polynomial kernel SVM,100.0,4,0.8153564899451554,0.8669301712779973,0.7651162790697674,1.0
Polynomial kernel SVM,10.0,4,0.8153564899451554,0.8669301712779973,0.7651162790697674,1.0
Polynomial kernel SVM,1000.0,4,0.8153564899451554,0.8669301712779973,0.7651162790697674,1.0
Polynomial kernel SVM,1.0,4,0.8025594149908593,0.8590078328981724,0.7528604118993135,1.0
Polynomial kernel SVM,100.0,5,0.7349177330895795,0.8194271481942715,0.6940928270042194,1.0
Polynomial kernel SVM,10.0,5,0.7349177330895795,0.8194271481942715,0.6940928270042194,1.0
Polynomial kernel SVM,0.1,2,0.7349177330895795,0.8194271481942715,0.6940928270042194,1.0
Polynomial kernel SVM,1000.0,5,0.7349177330895795,0.8194271481942715,0.6940928270042194,1.0
Polynomial kernel SVM,1.0,5,0.7038391224862889,0.802439024390244,0.670061099796334,1.0
Polynomial kernel SVM,100.0,6,0.6672760511882998,0.7833333333333334,0.6438356164383562,1.0
Polynomial kernel SVM,10.0,6,0.6672760511882998,0.7833333333333334,0.6438356164383562,1.0
Polynomial kernel SVM,1000.0,6,0.6672760511882998,0.7833333333333334,0.6438356164383562,1.0
Polynomial kernel SVM,1.0,6,0.6563071297989032,0.7777777777777778,0.6363636363636364,1.0
Polynomial kernel SVM,0.1,3,0.6398537477148081,0.7695906432748538,0.6254752851711026,1.0
Polynomial kernel SVM,0.1,4,0.603290676416819,0.7519999999999999,0.6025641025641025,1.0
Polynomial kernel SVM,0.0001,3,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.001,5,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.0001,4,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.0001,5,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.0001,6,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.001,2,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.001,3,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.001,4,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.01,2,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.001,6,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.1,6,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.01,3,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.01,4,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.01,5,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.01,6,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.1,5,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
Polynomial kernel SVM,0.0001,2,0.6014625228519196,0.7511415525114155,0.6014625228519196,1.0
